academic_history_id,student_id,program_id,sia_code,name,status,start_date,end_date
1,2026574,1,28790,NULL,ARCHIVED,2010-02-14,2015-06-14
2,2026575,2,28791,NULL,ARCHIVED,2012-02-14,2017-06-07
3,2026576,3,28792,NULL,ARCHIVED,2013-02-14,2018-06-28
4,2026577,1,28793,NULL,RETIRED,2007-07-30,2010-12-07
5,2026578,2,28794,NULL,ACTIVE,2018-07-28,NULL
6,2026579,1,28795,NULL,ACTIVE,2018-07-28,NULL
7,2026580,2,28796,NULL,ACTIVE,2020-02-14,NULL
8,2026581,1,28797,NULL,ACTIVE,2022-06-28,NULL
9,2026582,1,28798,NULL,ACTIVE,2019-02-07,NULL
10,2026583,3,28799,NULL,ACTIVE,2018-02-07,NULL
11,2026580,2,28800,NULL,ACTIVE,2022-06-28,NULL
