academic_history_id,student_id,program_id,sia_code,name,status,start_date,end_date
1,1,1,332626,Ingeniería de Sistemas y Computación,INACTIVE,2015-02-13,2019-02-11
2,2,1,113232,Ingeniería de Sistemas y Computación,ACTIVE,2016-10-24,2021-02-07
3,3,2,34784,Ingeniería Electrónica,ACTIVE,2009-06-19,2013-03-13
4,3,2,499579,Ingeniería Electrónica,ACTIVE,2009-10-18,2016-01-04
5,4,1,49474,Ingeniería de Sistemas y Computación,ACTIVE,2012-12-13,2019-05-04
6,5,1,342436,Ingeniería de Sistemas y Computación,ACTIVE,2017-11-15,2022-09-27
7,6,1,52037,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-20,2014-05-07
8,6,1,478674,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-04,2014-06-16
9,7,2,93637,Ingeniería Electrónica,ACTIVE,2008-06-08,2015-12-29
10,8,1,16527,Ingeniería de Sistemas y Computación,ACTIVE,2022-11-04,2026-08-19
11,9,1,101641,Ingeniería de Sistemas y Computación,ACTIVE,2016-04-05,2021-07-08
12,10,1,345385,Ingeniería de Sistemas y Computación,ACTIVE,2020-05-12,2024-07-21
13,11,1,241407,Ingeniería de Sistemas y Computación,ACTIVE,2010-05-06,2014-11-04
14,11,1,237174,Ingeniería de Sistemas y Computación,ACTIVE,2018-04-06,2025-10-30
15,12,1,79069,Ingeniería de Sistemas y Computación,ACTIVE,2010-11-23,2014-01-26
16,13,1,135239,Ingeniería de Sistemas y Computación,ACTIVE,2010-06-14,2016-04-30
17,14,1,477050,Ingeniería de Sistemas y Computación,ACTIVE,2019-04-08,2023-06-11
18,15,1,412133,Ingeniería de Sistemas y Computación,ACTIVE,2008-04-10,2013-03-09
19,16,1,317846,Ingeniería de Sistemas y Computación,INACTIVE,2021-10-15,2028-07-28
20,17,1,105666,Ingeniería de Sistemas y Computación,INACTIVE,2013-09-07,2020-02-06
21,18,1,15072,Ingeniería de Sistemas y Computación,INACTIVE,2013-08-03,2017-06-05
22,19,1,77310,Ingeniería de Sistemas y Computación,ACTIVE,2019-05-14,2025-08-03
23,20,1,292050,Ingeniería de Sistemas y Computación,ACTIVE,2011-06-09,2016-01-25
24,20,2,24564,Ingeniería Electrónica,ACTIVE,2017-03-23,2023-09-14
25,21,1,193690,Ingeniería de Sistemas y Computación,ACTIVE,2019-03-23,2023-07-01
26,21,1,286934,Ingeniería de Sistemas y Computación,ACTIVE,2012-06-17,2017-06-09
27,21,1,176298,Ingeniería de Sistemas y Computación,ACTIVE,2021-04-02,2026-01-27
28,22,1,257730,Ingeniería de Sistemas y Computación,ACTIVE,2019-11-29,2026-01-25
29,23,1,488764,Ingeniería de Sistemas y Computación,ACTIVE,2008-05-12,2013-03-05
30,24,1,200796,Ingeniería de Sistemas y Computación,ACTIVE,2017-10-16,2024-11-21
31,25,1,106807,Ingeniería de Sistemas y Computación,ACTIVE,2013-07-01,2020-05-02
32,26,1,111618,Ingeniería de Sistemas y Computación,ACTIVE,2008-04-19,2014-03-10
33,26,2,260233,Ingeniería Electrónica,ACTIVE,2010-07-21,2017-09-14
34,27,1,362438,Ingeniería de Sistemas y Computación,ACTIVE,2014-09-07,2019-05-25
35,28,1,453857,Ingeniería de Sistemas y Computación,ACTIVE,2017-03-07,2023-12-29
36,29,3,323695,Ingeniería Mecatrónica,INACTIVE,2017-07-21,2022-01-11
37,29,1,279048,Ingeniería de Sistemas y Computación,ACTIVE,2016-02-07,2020-07-23
38,30,1,49112,Ingeniería de Sistemas y Computación,ACTIVE,2016-07-12,2022-05-08
39,31,1,417772,Ingeniería de Sistemas y Computación,ACTIVE,2022-12-01,2027-10-01
40,31,2,79071,Ingeniería Electrónica,ACTIVE,2018-11-25,2024-10-30
41,32,1,293041,Ingeniería de Sistemas y Computación,ACTIVE,2019-05-13,2024-12-06
42,32,1,87022,Ingeniería de Sistemas y Computación,ACTIVE,2016-07-28,2020-06-27
43,32,1,340398,Ingeniería de Sistemas y Computación,ACTIVE,2008-01-30,2012-10-10
44,33,1,494676,Ingeniería de Sistemas y Computación,ACTIVE,2019-07-18,2023-07-15
45,34,2,270533,Ingeniería Electrónica,ACTIVE,2015-10-30,2021-08-05
46,35,1,258349,Ingeniería de Sistemas y Computación,ACTIVE,2018-09-16,2022-06-05
47,36,1,82828,Ingeniería de Sistemas y Computación,ACTIVE,2023-01-24,2028-05-26
48,37,1,414298,Ingeniería de Sistemas y Computación,ACTIVE,2015-11-11,2022-05-11
49,38,1,53217,Ingeniería de Sistemas y Computación,ACTIVE,2018-11-12,2024-07-31
50,38,1,214465,Ingeniería de Sistemas y Computación,ACTIVE,2020-08-03,2025-11-10
51,39,1,351682,Ingeniería de Sistemas y Computación,ACTIVE,2017-11-19,2024-06-12
52,40,1,120872,Ingeniería de Sistemas y Computación,ACTIVE,2021-04-14,2025-09-14
53,41,2,435389,Ingeniería Electrónica,ACTIVE,2018-08-15,2023-06-27
54,41,1,397489,Ingeniería de Sistemas y Computación,ACTIVE,2020-11-24,2024-10-27
55,42,1,130436,Ingeniería de Sistemas y Computación,ACTIVE,2020-04-28,2024-12-10
56,42,1,140253,Ingeniería de Sistemas y Computación,ACTIVE,2015-02-11,2020-03-25
57,42,1,431482,Ingeniería de Sistemas y Computación,ACTIVE,2009-12-17,2014-01-05
58,43,3,16493,Ingeniería Mecatrónica,ACTIVE,2021-09-07,2028-02-27
59,43,1,311258,Ingeniería de Sistemas y Computación,ACTIVE,2014-05-04,2019-06-12
60,44,1,458440,Ingeniería de Sistemas y Computación,ACTIVE,2011-07-07,2016-08-15
61,44,1,77522,Ingeniería de Sistemas y Computación,ACTIVE,2009-08-06,2016-04-22
62,45,1,422801,Ingeniería de Sistemas y Computación,ACTIVE,2022-05-15,2028-09-01
63,46,3,207894,Ingeniería Mecatrónica,INACTIVE,2014-05-18,
64,47,1,271651,Ingeniería de Sistemas y Computación,ACTIVE,2008-05-02,2013-09-07
65,48,1,434846,Ingeniería de Sistemas y Computación,INACTIVE,2015-06-11,2019-01-28
66,49,1,312454,Ingeniería de Sistemas y Computación,ACTIVE,2016-10-08,2021-05-30
67,50,1,232051,Ingeniería de Sistemas y Computación,INACTIVE,2015-08-10,2022-12-14
68,51,1,429847,Ingeniería de Sistemas y Computación,INACTIVE,2012-04-15,
69,51,1,396529,Ingeniería de Sistemas y Computación,ACTIVE,2014-08-20,2018-08-15
70,52,1,432559,Ingeniería de Sistemas y Computación,ACTIVE,2018-10-19,2022-11-13
71,53,1,381128,Ingeniería de Sistemas y Computación,ACTIVE,2008-01-28,2015-08-03
72,54,1,197099,Ingeniería de Sistemas y Computación,INACTIVE,2023-01-06,2030-03-14
73,55,1,205054,Ingeniería de Sistemas y Computación,ACTIVE,2011-03-28,2015-01-23
74,56,1,498409,Ingeniería de Sistemas y Computación,ACTIVE,2014-03-29,2018-08-23
75,57,1,122008,Ingeniería de Sistemas y Computación,ACTIVE,2019-04-21,2024-07-23
76,58,1,429906,Ingeniería de Sistemas y Computación,ACTIVE,2021-09-03,2027-09-12
77,58,1,379234,Ingeniería de Sistemas y Computación,ACTIVE,2011-04-08,2016-08-19
78,59,1,288724,Ingeniería de Sistemas y Computación,ACTIVE,2015-12-10,2021-04-07
79,60,1,49137,Ingeniería de Sistemas y Computación,ACTIVE,2016-01-19,2020-09-18
80,60,1,299577,Ingeniería de Sistemas y Computación,ACTIVE,2010-06-22,2017-04-19
81,60,1,305849,Ingeniería de Sistemas y Computación,ACTIVE,2022-09-28,2028-03-20
82,61,1,45343,Ingeniería de Sistemas y Computación,ACTIVE,2014-02-14,2019-05-02
83,62,1,34807,Ingeniería de Sistemas y Computación,ACTIVE,2009-07-22,2013-05-25
84,63,1,399733,Ingeniería de Sistemas y Computación,ACTIVE,2013-06-03,2017-10-31
85,64,1,404147,Ingeniería de Sistemas y Computación,ACTIVE,2019-10-07,2025-08-08
86,65,1,82293,Ingeniería de Sistemas y Computación,ACTIVE,2008-09-17,2015-02-06
87,65,1,351555,Ingeniería de Sistemas y Computación,ACTIVE,2011-08-17,2018-08-23
88,66,1,348628,Ingeniería de Sistemas y Computación,ACTIVE,2016-07-31,2021-01-23
89,67,1,229123,Ingeniería de Sistemas y Computación,ACTIVE,2014-05-22,2020-10-21
90,68,1,352555,Ingeniería de Sistemas y Computación,INACTIVE,2018-05-26,2023-01-26
91,69,1,171773,Ingeniería de Sistemas y Computación,ACTIVE,2012-01-08,2017-03-16
92,70,1,394006,Ingeniería de Sistemas y Computación,INACTIVE,2010-05-13,2017-08-17
93,71,1,493843,Ingeniería de Sistemas y Computación,INACTIVE,2012-11-30,
94,72,2,321273,Ingeniería Electrónica,ACTIVE,2014-08-14,2021-06-10
95,72,1,198409,Ingeniería de Sistemas y Computación,ACTIVE,2016-11-20,2023-03-19
96,72,1,282286,Ingeniería de Sistemas y Computación,ACTIVE,2020-06-27,2025-12-05
97,73,1,473793,Ingeniería de Sistemas y Computación,ACTIVE,2013-06-27,2018-04-19
98,74,1,273739,Ingeniería de Sistemas y Computación,ACTIVE,2020-11-15,2026-12-26
99,75,1,105180,Ingeniería de Sistemas y Computación,ACTIVE,2018-07-30,2022-05-10
100,76,1,254582,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-19,2014-11-24
101,77,1,244817,Ingeniería de Sistemas y Computación,INACTIVE,2009-01-14,2014-02-18
102,78,3,57031,Ingeniería Mecatrónica,ACTIVE,2021-04-25,2027-10-19
103,79,1,336254,Ingeniería de Sistemas y Computación,ACTIVE,2017-05-28,2022-03-02
104,79,2,144636,Ingeniería Electrónica,ACTIVE,2015-10-25,2020-06-20
105,80,1,61671,Ingeniería de Sistemas y Computación,ACTIVE,2010-01-03,2015-12-25
106,81,1,125121,Ingeniería de Sistemas y Computación,INACTIVE,2011-05-02,2017-05-28
107,82,3,82558,Ingeniería Mecatrónica,INACTIVE,2016-04-13,2023-05-31
108,83,1,229137,Ingeniería de Sistemas y Computación,ACTIVE,2018-02-17,2024-08-21
109,84,1,314378,Ingeniería de Sistemas y Computación,ACTIVE,2013-09-21,2017-03-17
110,85,1,47797,Ingeniería de Sistemas y Computación,INACTIVE,2022-06-05,2029-10-20
111,85,1,11231,Ingeniería de Sistemas y Computación,ACTIVE,2009-11-03,2016-02-27
112,86,1,285247,Ingeniería de Sistemas y Computación,ACTIVE,2014-03-29,2020-03-18
113,87,1,197496,Ingeniería de Sistemas y Computación,ACTIVE,2015-02-21,2019-07-22
114,88,1,15790,Ingeniería de Sistemas y Computación,ACTIVE,2017-03-24,2024-02-13
115,89,1,248574,Ingeniería de Sistemas y Computación,ACTIVE,2019-01-02,2024-06-03
116,90,1,45494,Ingeniería de Sistemas y Computación,ACTIVE,2019-03-07,2024-03-29
117,90,1,126402,Ingeniería de Sistemas y Computación,ACTIVE,2015-06-19,2020-09-18
118,91,2,99550,Ingeniería Electrónica,ACTIVE,2011-09-28,2016-01-16
119,92,1,182449,Ingeniería de Sistemas y Computación,ACTIVE,2022-08-18,2027-01-08
120,93,2,445650,Ingeniería Electrónica,ACTIVE,2015-06-08,2021-07-12
121,94,1,202105,Ingeniería de Sistemas y Computación,ACTIVE,2014-11-29,2018-09-21
122,94,1,80827,Ingeniería de Sistemas y Computación,INACTIVE,2017-10-08,
123,94,1,162519,Ingeniería de Sistemas y Computación,ACTIVE,2020-05-15,2026-02-05
124,95,2,172558,Ingeniería Electrónica,ACTIVE,2016-01-09,2023-03-30
125,95,2,45746,Ingeniería Electrónica,ACTIVE,2010-03-24,2017-04-17
126,96,1,111912,Ingeniería de Sistemas y Computación,ACTIVE,2009-06-24,2014-06-14
127,96,1,81591,Ingeniería de Sistemas y Computación,INACTIVE,2008-02-14,2013-02-17
128,97,1,246368,Ingeniería de Sistemas y Computación,INACTIVE,2018-11-15,2023-11-18
129,98,3,127349,Ingeniería Mecatrónica,ACTIVE,2022-12-07,2026-12-06
130,98,1,143002,Ingeniería de Sistemas y Computación,ACTIVE,2016-10-04,2023-10-09
131,98,1,176155,Ingeniería de Sistemas y Computación,ACTIVE,2009-12-01,2015-11-27
132,99,1,92933,Ingeniería de Sistemas y Computación,ACTIVE,2013-08-07,2017-08-29
133,100,1,128688,Ingeniería de Sistemas y Computación,ACTIVE,2012-11-05,2017-08-14
134,101,1,129268,Ingeniería de Sistemas y Computación,ACTIVE,2015-10-07,2022-08-17
135,102,1,316654,Ingeniería de Sistemas y Computación,ACTIVE,2013-04-01,2018-04-19
136,102,2,114154,Ingeniería Electrónica,ACTIVE,2013-07-28,2018-02-02
137,103,1,95225,Ingeniería de Sistemas y Computación,ACTIVE,2009-02-21,2013-03-04
138,104,1,152518,Ingeniería de Sistemas y Computación,ACTIVE,2015-03-13,2022-06-07
139,105,1,363414,Ingeniería de Sistemas y Computación,ACTIVE,2018-03-18,2022-06-09
140,106,1,438037,Ingeniería de Sistemas y Computación,ACTIVE,2018-07-12,2025-01-02
