group_id,group_number,semester,seats,professor_id,course_id
874,1,2020-1,43,1,12
1289,1,2010-2,47,2,18
4328,1,2013-2,29,3,59
418,1,2016-1,30,4,6
23,2,2011-2,48,5,1
4192,1,2018-1,38,6,57
17,4,2010-2,26,7,1
5323,2,2011-1,24,8,72
4324,3,2012-2,21,9,59
1490,2,2020-1,20,10,20
2500,4,2019-1,36,11,34
4847,2,2008-2,24,12,66
1257,2,2020-1,50,13,17
2275,1,2014-1,29,14,31
5322,1,2011-1,47,15,72
353,3,2017-2,22,16,5
4349,2,2017-1,50,17,59
3602,2,2019-1,25,18,49
4711,2,2011-2,40,19,64
5232,3,2009-2,31,20,71
1929,4,2019-1,30,21,26
4661,1,2016-2,22,22,63
5018,3,2014-2,34,23,68
5170,3,2012-2,41,24,70
5596,3,2019-1,49,25,75
3325,1,2010-1,35,26,46
3114,4,2010-1,42,27,43
1034,4,2022-2,28,28,14
2764,2,2015-1,36,29,38
991,1,2015-1,39,30,14
4047,1,2017-2,33,1,55
5055,4,2020-2,35,2,68
3381,2,2022-1,22,3,46
1759,3,2013-2,42,4,24
4963,1,2018-1,38,5,67
5038,1,2018-1,26,6,68
3025,3,2020-2,45,7,41
1248,3,2018-2,36,8,17
4035,4,2014-2,30,9,55
243,1,2011-2,40,10,4
98,2,2010-1,27,11,2
3753,2,2019-1,30,12,51
1227,4,2014-2,37,13,17
5643,1,2015-2,39,14,76
1029,2,2022-1,43,15,14
1092,1,2019-1,38,16,15
140,1,2019-1,27,17,2
2495,2,2018-2,23,18,34
4336,3,2015-1,21,19,59
1556,4,2016-2,25,20,21
2023,1,2021-1,31,21,27
3093,1,2020-2,32,22,42
4264,1,2017-1,22,23,58
442,2,2020-1,32,24,6
527,1,2008-2,25,25,8
3083,2,2018-1,37,26,42
1996,1,2016-1,42,27,27
4498,1,2015-1,45,28,61
5033,4,2017-1,35,29,68
3021,1,2020-1,30,30,41
804,1,2021-1,31,1,11
481,4,2011-2,32,2,7
2882,1,2009-1,25,3,40
3275,3,2014-1,45,4,45
