schedule_id,group_id,classroom_name,classroom_code,weekday,start_hour,end_hour
1,874,ForestGreen,440,1,7,9
2,874,ForestGreen,440,5,7,9
3,1289,OldLace,153,6,19,21
4,1289,OldLace,153,3,19,21
5,4328,DarkGray,399,7,17,19
6,4328,DarkGray,399,4,17,19
7,418,Olive,424,1,8,10
8,418,Olive,424,4,8,10
9,23,LightBlue,492,6,13,15
10,23,LightBlue,492,3,13,15
11,4192,DarkSlateGray,275,1,7,9
12,4192,DarkSlateGray,275,4,7,9
13,17,MediumSpringGreen,144,6,10,12
14,17,MediumSpringGreen,144,5,10,12
15,5323,LemonChiffon,186,5,7,9
16,5323,LemonChiffon,186,6,7,9
17,4324,WhiteSmoke,219,2,18,20
18,4324,WhiteSmoke,219,6,18,20
19,1490,DarkTurquoise,171,2,12,14
20,1490,DarkTurquoise,171,3,12,14
21,2500,Black,425,3,20,22
22,2500,Black,425,2,20,22
23,4847,SpringGreen,135,3,18,20
24,4847,SpringGreen,135,6,18,20
25,1257,Linen,479,3,6,8
26,1257,Linen,479,2,6,8
27,2275,NavajoWhite,333,6,12,14
28,2275,NavajoWhite,333,1,12,14
29,5322,OrangeRed,293,3,17,19
30,5322,OrangeRed,293,5,17,19
31,353,Linen,443,4,11,13
32,353,Linen,443,3,11,13
33,4349,LightGray,359,3,7,9
34,4349,LightGray,359,1,7,9
35,3602,OldLace,399,1,11,13
36,3602,OldLace,399,2,11,13
37,4711,Chocolate,313,3,12,14
38,4711,Chocolate,313,7,12,14
39,5232,BlueViolet,286,5,6,8
40,5232,BlueViolet,286,6,6,8
41,1929,PaleGreen,139,2,11,13
42,1929,PaleGreen,139,1,11,13
43,4661,SlateBlue,430,4,15,17
44,4661,SlateBlue,430,7,15,17
45,5018,SlateGray,273,1,10,12
46,5018,SlateGray,273,2,10,12
47,5170,LightGreen,161,5,6,8
48,5170,LightGreen,161,3,6,8
49,5596,Coral,343,4,14,16
50,5596,Coral,343,5,14,16
51,3325,PaleGoldenRod,265,6,15,17
52,3325,PaleGoldenRod,265,1,15,17
53,3114,Tan,286,6,10,12
54,3114,Tan,286,3,10,12
55,1034,Khaki,417,7,13,15
56,1034,Khaki,417,6,13,15
57,2764,Indigo,309,5,18,20
58,2764,Indigo,309,4,18,20
59,991,DarkMagenta,223,3,18,20
60,991,DarkMagenta,223,4,18,20
61,4047,DarkGreen,261,4,12,14
62,4047,DarkGreen,261,6,12,14
63,5055,LightCyan,216,6,15,17
64,5055,LightCyan,216,7,15,17
65,3381,MediumVioletRed,189,2,8,10
66,3381,MediumVioletRed,189,1,8,10
67,1759,MediumSpringGreen,274,4,10,12
68,1759,MediumSpringGreen,274,5,10,12
69,4963,DarkOrchid,147,5,7,9
70,4963,DarkOrchid,147,4,7,9
71,5038,DarkOliveGreen,220,6,13,15
72,5038,DarkOliveGreen,220,3,13,15
73,3025,SteelBlue,248,2,15,17
74,3025,SteelBlue,248,4,15,17
75,1248,OldLace,243,5,6,8
76,1248,OldLace,243,3,6,8
77,4035,DarkGreen,410,7,11,13
78,4035,DarkGreen,410,2,11,13
79,243,Navy,104,7,14,16
80,243,Navy,104,1,14,16
81,98,Salmon,216,4,12,14
82,98,Salmon,216,7,12,14
83,3753,GoldenRod,378,6,20,22
84,3753,GoldenRod,378,7,20,22
85,1227,Yellow,116,4,13,15
86,1227,Yellow,116,2,13,15
87,5643,LavenderBlush,352,6,11,13
88,5643,LavenderBlush,352,1,11,13
89,1029,Maroon,290,7,10,12
90,1029,Maroon,290,6,10,12
91,1092,DarkViolet,144,1,12,14
92,1092,DarkViolet,144,3,12,14
93,140,MidnightBlue,323,1,7,9
94,140,MidnightBlue,323,5,7,9
95,2495,Indigo,477,4,6,8
96,2495,Indigo,477,1,6,8
97,4336,FloralWhite,479,2,15,17
98,4336,FloralWhite,479,4,15,17
99,1556,BlanchedAlmond,466,4,16,18
100,1556,BlanchedAlmond,466,6,16,18
101,2023,Turquoise,138,6,19,21
102,2023,Turquoise,138,5,19,21
103,3093,OldLace,301,7,17,19
104,3093,OldLace,301,4,17,19
105,4264,Turquoise,339,2,14,16
106,4264,Turquoise,339,1,14,16
107,442,LavenderBlush,220,2,10,12
108,442,LavenderBlush,220,7,10,12
109,527,SeaShell,239,1,12,14
110,527,SeaShell,239,4,12,14
111,3083,DarkGreen,254,2,14,16
112,3083,DarkGreen,254,1,14,16
113,1996,Purple,420,6,7,9
114,1996,Purple,420,7,7,9
115,4498,Bisque,425,2,13,15
116,4498,Bisque,425,3,13,15
117,5033,LightBlue,468,4,9,11
118,5033,LightBlue,468,7,9,11
119,3021,Turquoise,425,6,16,18
120,3021,Turquoise,425,1,16,18
121,804,PaleGoldenRod,268,3,6,8
122,804,PaleGoldenRod,268,2,6,8
123,481,PaleGoldenRod,112,4,12,14
124,481,PaleGoldenRod,112,7,12,14
125,2882,BlanchedAlmond,301,4,17,19
126,2882,BlanchedAlmond,301,1,17,19
127,3275,Magenta,245,5,12,14
128,3275,Magenta,245,2,12,14
129,1969,Fuchsia,409,6,15,17
130,1969,Fuchsia,409,1,15,17
131,4078,Peru,160,6,7,9
132,4078,Peru,160,4,7,9
133,2392,DarkSeaGreen,365,3,8,10
134,2392,DarkSeaGreen,365,5,8,10
135,3308,Purple,185,7,14,16
136,3308,Purple,185,5,14,16
137,884,Peru,356,2,13,15
138,884,Peru,356,5,13,15
139,1549,Sienna,276,7,12,14
140,1549,Sienna,276,4,12,14
141,2935,Indigo,352,7,10,12
142,2935,Indigo,352,1,10,12
143,4376,LemonChiffon,431,5,20,22
144,4376,LemonChiffon,431,3,20,22
145,3161,PaleGoldenRod,494,7,9,11
146,3161,PaleGoldenRod,494,3,9,11
147,4917,SeaGreen,207,1,17,19
148,4917,SeaGreen,207,6,17,19
149,2095,MediumAquaMarine,404,1,13,15
150,2095,MediumAquaMarine,404,7,13,15
151,1504,DarkOrange,429,5,11,13
152,1504,DarkOrange,429,7,11,13
153,1352,MidnightBlue,230,3,19,21
154,1352,MidnightBlue,230,2,19,21
155,855,LightPink,223,5,6,8
156,855,LightPink,223,4,6,8
157,366,Gray,449,1,19,21
158,366,Gray,449,4,19,21
159,3695,MediumBlue,325,7,11,13
160,3695,MediumBlue,325,3,11,13
161,3086,LemonChiffon,473,2,19,21
162,3086,LemonChiffon,473,5,19,21
163,3220,LightSalmon,255,3,11,13
164,3220,LightSalmon,255,4,11,13
165,1011,SeaShell,339,1,18,20
166,1011,SeaShell,339,4,18,20
167,3385,ForestGreen,395,3,17,19
168,3385,ForestGreen,395,5,17,19
169,2074,DarkBlue,291,5,8,10
170,2074,DarkBlue,291,1,8,10
171,2052,Chartreuse,320,4,18,20
172,2052,Chartreuse,320,5,18,20
173,1864,PapayaWhip,172,6,11,13
174,1864,PapayaWhip,172,3,11,13
175,3845,SlateBlue,159,3,6,8
176,3845,SlateBlue,159,5,6,8
177,5248,Crimson,377,3,17,19
178,5248,Crimson,377,5,17,19
179,4408,LightBlue,289,4,9,11
180,4408,LightBlue,289,3,9,11
181,5012,Black,384,7,15,17
182,5012,Black,384,3,15,17
183,4342,LemonChiffon,276,6,9,11
184,4342,LemonChiffon,276,4,9,11
185,4398,DeepSkyBlue,472,6,11,13
186,4398,DeepSkyBlue,472,3,11,13
187,2640,MediumVioletRed,473,3,17,19
188,2640,MediumVioletRed,473,1,17,19
189,1597,Chocolate,318,2,9,11
190,1597,Chocolate,318,7,9,11
191,3885,DimGray,230,7,7,9
192,3885,DimGray,230,2,7,9
193,3056,Fuchsia,262,6,7,9
194,3056,Fuchsia,262,2,7,9
195,2823,Pink,289,4,18,20
196,2823,Pink,289,2,18,20
197,926,Coral,394,3,8,10
198,926,Coral,394,6,8,10
199,1830,Tan,208,2,15,17
200,1830,Tan,208,7,15,17
201,3863,LightBlue,317,3,14,16
202,3863,LightBlue,317,7,14,16
203,2717,DarkOrange,125,6,9,11
204,2717,DarkOrange,125,3,9,11
205,254,MediumSeaGreen,270,3,9,11
206,254,MediumSeaGreen,270,5,9,11
207,4200,DarkGray,137,7,16,18
208,4200,DarkGray,137,3,16,18
209,4709,AntiqueWhite,239,4,9,11
210,4709,AntiqueWhite,239,1,9,11
211,3839,Blue,436,7,7,9
212,3839,Blue,436,3,7,9
213,4695,Violet,395,3,8,10
214,4695,Violet,395,4,8,10
215,604,OrangeRed,205,4,18,20
216,604,OrangeRed,205,3,18,20
217,3916,DarkSlateGray,342,6,6,8
218,3916,DarkSlateGray,342,3,6,8
219,4265,FireBrick,263,4,17,19
220,4265,FireBrick,263,6,17,19
221,4058,DarkOliveGreen,320,6,19,21
222,4058,DarkOliveGreen,320,1,19,21
223,4792,BlueViolet,187,2,16,18
224,4792,BlueViolet,187,1,16,18
225,3373,WhiteSmoke,402,3,10,12
226,3373,WhiteSmoke,402,7,10,12
227,1038,Khaki,420,2,19,21
228,1038,Khaki,420,3,19,21
229,3437,Gainsboro,161,6,19,21
230,3437,Gainsboro,161,2,19,21
231,634,SlateBlue,366,6,14,16
232,634,SlateBlue,366,3,14,16
233,4413,SlateBlue,486,4,14,16
234,4413,SlateBlue,486,3,14,16
