typology_id,program_id,course_id,typology
1,1,1,FUND. OPTATIVA (O)
2,1,2,FUND. OPTATIVA (O)
3,1,3,FUND. OBLIGATORIA (B)
4,1,4,DISCIPLINAR OBLIGATORIA (C)
5,1,5,DISCIPLINAR OBLIGATORIA (C)
6,1,6,DISCIPLINAR OBLIGATORIA (C)
7,1,7,DISCIPLINAR OBLIGATORIA (C)
8,1,8,FUND. OPTATIVA (O)
9,1,9,FUND. OPTATIVA (O)
10,1,10,FUND. OPTATIVA (O)
11,1,11,FUND. OPTATIVA (O)
12,1,12,FUND. OPTATIVA (O)
13,1,13,FUND. OBLIGATORIA (B)
14,1,14,DISCIPLINAR OBLIGATORIA (C)
15,1,15,DISCIPLINAR OBLIGATORIA (C)
16,1,16,DISCIPLINAR OPTATIVA (T)
17,1,17,FUND. OPTATIVA (O)
18,1,18,FUND. OPTATIVA (O)
19,1,19,DISCIPLINAR OPTATIVA (T)
20,1,20,DISCIPLINAR OBLIGATORIA (C)
21,1,21,FUND. OBLIGATORIA (B)
22,1,22,FUND. OBLIGATORIA (B)
23,1,23,FUND. OPTATIVA (O)    
24,1,24,DISCIPLINAR OBLIGATORIA (C)
25,1,25,DISCIPLINAR OBLIGATORIA (C)
26,1,26,FUND. OPTATIVA (O)
27,1,27,FUND. OPTATIVA (O)
28,1,28,NIVELACIÓN (E)
29,1,29,NIVELACIÓN (E)
30,1,30,NIVELACIÓN (E)
31,1,31,NIVELACIÓN (E)
32,1,32,NIVELACIÓN (E)
33,1,33,NIVELACIÓN (E)
34,1,34,NIVELACIÓN (E)
35,1,35,NIVELACIÓN (E)
36,1,36,NIVELACIÓN (E)
37,1,37,NIVELACIÓN (E)
38,1,38,NIVELACIÓN (E)
39,1,39,NIVELACIÓN (E)
40,1,40,NIVELACIÓN (E)
41,1,41,NIVELACIÓN (E)
42,1,42,NIVELACIÓN (E)
43,1,43,NIVELACIÓN (E)
44,1,44,NIVELACIÓN (E)
45,1,45,DISCIPLINAR OBLIGATORIA (C)
46,1,46,DISCIPLINAR OPTATIVA (T)
47,1,47,DISCIPLINAR OBLIGATORIA (C)
48,1,48,FUND. OBLIGATORIA (B)
49,1,49,DISCIPLINAR OPTATIVA (T)
50,1,50,DISCIPLINAR OBLIGATORIA (C)
51,1,51,NIVELACIÓN (E)
52,1,52,DISCIPLINAR OBLIGATORIA (C)
53,1,53,NIVELACIÓN (E)
54,1,54,FUND. OPTATIVA (O)
55,1,55,FUND. OPTATIVA (O)
56,1,56,FUND. OPTATIVA (O)
57,1,57,DISCIPLINAR OBLIGATORIA (C)
58,1,58,DISCIPLINAR OPTATIVA (T)
59,1,59,DISCIPLINAR OPTATIVA (T)
60,1,60,DISCIPLINAR OBLIGATORIA (C)
61,1,61,FUND. OPTATIVA (O)
62,1,62,FUND. OPTATIVA (O)
63,1,63,DISCIPLINAR OPTATIVA (T)
64,1,64,DISCIPLINAR OBLIGATORIA (C)
65,1,65,DISCIPLINAR OBLIGATORIA (C)
66,1,66,DISCIPLINAR OPTATIVA (T)
67,1,67,DISCIPLINAR OPTATIVA (T)
68,1,68,DISCIPLINAR OBLIGATORIA (C)
69,1,69,NIVELACIÓN (E)
70,1,70,DISCIPLINAR OBLIGATORIA (C)
71,1,71,FUND. OPTATIVA (O)
72,1,72,FUND. OBLIGATORIA (B)
73,1,73,DISCIPLINAR OPTATIVA (T)
74,1,74,TRABAJO DE GRADO (P)
75,1,75,TRABAJO DE GRADO (P)
76,1,76,TRABAJO DE GRADO (P)
77,1,77,TRABAJO DE GRADO (P)
